,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,265,31,225,4,4,200,4,132,200.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,125,31,85,4,4,60,8,132,60.0,"[0.0, 2.0, 8000.0, 100.0, 100.0, 0.5, 5000.0, 100.0, 100.0, 0.0002, 3333.333008, 100.0, 100.0, 0.0, 0.0]"
2,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,73,31,33,4,4,8,9,132,8.0,"[0.0, 0.0]"
3,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,97,31,57,4,4,32,3,132,32.0,"[0.0, 0.000723, -0.000362, -0.001085, -0.000723, 711.089417, 0.0, 0.0]"
4,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,185,31,145,4,4,120,4,132,120.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,110,31,70,4,4,45,4,132,45.0,[]
6,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,189,31,149,4,4,124,4,132,124.0,"[0.0002, 3333.333008, 1000.0, 100.0, 50.0, 47.511791, 0.0, 0.280005, 3846.117188, 4751.508301, 9.21389, 29.453474, 47.975464, 2706.2146, 65.88044, 117.662857, 0.449432, 71.258133, 48.948669, 2608.916748, 28.693903, 47.511791, 3252.806885, 22.999994, 41.516205, -1.042674, 240.397095, 82.731155, 70.923752, 18.980293, 53.133381]"
7,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,69,31,29,4,4,4,4,132,4.0,[0.216501]
8,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,265,31,225,4,4,200,4,132,200.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,125,31,85,4,4,60,8,132,60.0,"[0.0, 2.0, 8000.0, 100.0, 100.0, 0.5, 5000.0, 100.0, 100.0, 0.0002, 3333.333008, 100.0, 100.0, 0.0, 0.0]"
